sf6,o2,chf3,pressure,rf_power,predicted_etch_rate_um_min,predicted_selectivity,predicted_nonuniformity_pct,predicted_anisotropy_auxiliary,nominally_meets_primary_specs,prediction_confidence_state,supported_prediction_confidence_state,inside_design_hull,inside_leverage_envelope,inside_design_region,prediction_leverage,meets_all_primary_specs,grid_row,grid_column
11.5,3.2,12.0,100.0,100.0,0.2301712121212123,2.5707964015151425,4.228481060606061,0.8141351988636362,False,rejected,unsupported,False,False,False,1.3501568418560606,False,6,3
12.0,3.2,12.0,100.0,100.0,0.23519846969696986,2.773712121212114,4.288193181818182,0.8185225757575756,False,rejected,unsupported,False,False,False,1.2775837121212121,False,6,4
12.5,3.2,12.0,100.0,100.0,0.2401536477272729,2.976372159090902,4.34599053030303,0.8226592140151513,False,rejected,unsupported,False,False,False,1.2091772964015153,False,6,5
13.0,3.2,12.0,100.0,100.0,0.24503674621212135,3.178776515151509,4.401873106060607,0.8265451136363634,False,rejected,unsupported,False,False,False,1.1447560606060603,False,6,6
13.5,3.2,12.0,100.0,100.0,0.2498477651515153,3.3809251893939347,4.4558409090909095,0.8301802746212119,False,rejected,unsupported,False,False,False,1.0841435842803029,False,6,7
14.0,3.2,12.0,100.0,100.0,0.2545867045454547,3.582818181818176,4.50789393939394,0.8335646969696967,False,rejected,unsupported,False,False,False,1.0271685606060608,False,6,8
14.5,3.2,12.0,100.0,100.0,0.25925356439393954,3.7844554924242377,4.558032196969697,0.836698380681818,False,rejected,unsupported,False,False,False,0.973664796401515,False,6,9
15.0,3.2,12.0,100.0,100.0,0.2638483446969698,3.9858371212121178,4.606255681818182,0.8395813257575755,False,rejected,unsupported,False,False,False,0.9234712121212121,False,6,10
15.5,3.2,12.0,100.0,100.0,0.2683710454545456,4.186963068181814,4.652564393939394,0.8422135321969695,False,rejected,unsupported,False,True,False,0.8764318418560605,False,6,11
16.0,3.2,12.0,100.0,100.0,0.27282166666666674,4.38783333333333,4.696958333333334,0.8445949999999998,False,rejected,unsupported,False,True,False,0.8323958333333332,False,6,12
16.5,3.2,12.0,100.0,100.0,0.2772002083333334,4.588447916666664,4.7394375,0.8467257291666664,False,rejected,unsupported,False,True,False,0.7912174479166667,False,6,13
17.0,3.2,12.0,100.0,100.0,0.2815066704545455,4.788806818181815,4.780001893939394,0.8486057196969694,False,rejected,unsupported,False,True,False,0.7527560606060606,False,6,14
17.5,3.2,12.0,100.0,100.0,0.2857410530303031,4.988910037878785,4.818651515151515,0.8502349715909088,False,rejected,unsupported,False,True,False,0.7168761600378788,False,6,15
18.0,3.2,12.0,100.0,100.0,0.28990335606060613,5.188757575757573,4.855386363636363,0.8516134848484845,False,rejected,unsupported,False,True,False,0.6834473484848484,False,6,16
18.5,3.2,12.0,100.0,100.0,0.29399357954545463,5.388349431818181,4.89020643939394,0.8527412594696967,False,rejected,unsupported,False,True,False,0.6523443418560606,False,6,17
19.0,3.2,12.0,100.0,100.0,0.2980117234848485,5.587685606060605,4.923111742424242,0.8536182954545452,False,rejected,unsupported,False,True,False,0.6234469696969697,False,6,18
19.5,3.2,12.0,100.0,100.0,0.3019577878787879,5.786766098484848,4.9541022727272725,0.85424459280303,False,rejected,unsupported,False,True,False,0.5966401751893939,False,6,19
20.0,3.2,12.0,100.0,100.0,0.3058317727272728,5.985590909090908,4.98317803030303,0.8546201515151511,False,rejected,unsupported,False,True,False,0.5718140151515152,False,6,20
20.5,3.2,12.0,100.0,100.0,0.30963367803030306,6.184160037878787,5.010339015151515,0.8547449715909088,False,rejected,unsupported,False,True,False,0.5488636600378787,False,6,21
21.0,3.2,12.0,100.0,100.0,0.31336350378787886,6.382473484848485,5.035585227272727,0.8546190530303026,False,rejected,unsupported,False,True,False,0.527689393939394,False,6,22
21.5,3.2,12.0,100.0,100.0,0.31702125000000003,6.58053125,5.058916666666666,0.8542423958333331,False,rejected,unsupported,False,True,False,0.5081966145833333,False,6,23
